,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight,Unnamed: 36,Unnamed: 37,Unnamed: 38,mask
80,396,150.1684685,0.0749,-54.77746622,0.0736,5.26018e+18,0.1344,0.0883,-4.141,0.158,2.599,0.143,0,2327.1,3.9081,17.2713,0.0018,1544.7,85.731,17.3793,0.0603,2481.8,52.126,16.275,0.0228,1.1043,,,,,,,,IN,2,,,,0
8,403,150.1550989,0.0243,-54.77695235,0.0226,5.26018e+18,0.0653,0.0273,-4.273,0.05,2.69,0.041,0,20732.0,7.9351,14.8968,0.0004,9590.8,14.469,15.3967,0.0016,16696.0,15.17,14.2054,0.001,1.1914,,,4851.0,,,,,IN,1,,,,0
32,375,150.1328988,0.1027,-54.7762175,0.1051,5.26018e+18,0.7746,0.1255,-8.826,0.227,4.519,0.202,0,12578.0,31.666,15.4393,0.0027,7132.1,18.187,15.7183,0.0028,10068.0,25.604,14.7545,0.0028,0.9638,,,5349.45,0.5183,0.2513,,,IN,1,,,,0
28,299,150.1837245,0.0243,-54.77525877,0.0246,5.26018e+18,0.4316,0.0285,-7.144,0.054,5.301,0.049,0,19953.0,6.3768,14.9383,0.0003,10864.0,17.444,15.2614,0.0017,13406.0,16.349,14.4436,0.0013,0.8178,,,5748.5,,,2.08,4.238,IN,1,,,,0
50,402,150.1500135,0.3909,-54.77464398,0.3889,5.26018e+18,-0.38,0.4552,-22.716,0.959,-11.352,0.86,1,13271.0,75.428,15.3811,0.0062,6995.1,18.416,15.7394,0.0029,11786.0,21.682,14.5835,0.002,1.1559,,,4964.7,,,,,IN,1,,,,0
38,292,150.2037819,0.0414,-54.77328007,0.0399,5.26018e+18,1.3713,0.0487,-0.866,0.089,2.457,0.075,0,6499.2,4.8188,16.1562,0.0008,2578.7,8.8296,16.8229,0.0037,5687.4,11.351,15.3746,0.0022,1.4483,,,4536.78,0.4038,0.1885,0.67,0.173,IN,1,,,,0
72,410,150.1470437,0.051,-54.7724553,0.0529,5.26018e+18,0.6626,0.0618,-4.547,0.107,6.032,0.105,0,4301.3,2.8532,16.6044,0.0007,2048.9,12.21,17.0726,0.0065,3281.0,15.233,15.9719,0.005,1.1007,,,4948.2,0.181,0.091,0.89,0.432,IN,2,,,,0
30,316,150.1933015,0.0225,-54.77196721,0.0196,5.26018e+18,0.4059,0.0239,-7.206,0.048,4.27,0.037,0,28739.0,8.4408,14.5422,0.0003,16248.0,21.849,14.8244,0.0015,18526.0,17.328,14.0924,0.001,0.7319,,,5923.76,,,2.48,6.835,IN,1,,,,0
15,301,150.1801559,0.0285,-54.77134873,0.0289,5.26018e+18,0.5083,0.0335,-5.823,0.059,5.609,0.057,0,16116.0,6.0127,15.1702,0.0004,8366.6,13.031,15.545,0.0017,11413.0,17.043,14.6184,0.0016,0.9266,,,5296.38,,,1.91,2.581,IN,1,,,,0
215,340,150.156675,0.1314,-54.77063559,0.1283,5.26018e+18,0.3145,0.1571,-4.318,0.292,2.804,0.255,0,962.68,1.6645,18.2297,0.0019,428.0,12.009,18.7728,0.0305,868.02,12.237,17.4156,0.0153,1.3572,,,,,,,,IN,4,,,,0
57,424,150.1538374,0.0332,-54.76997129,0.0379,5.26018e+18,0.0484,0.0431,-4.159,0.073,2.632,0.066,0,10419.0,5.6037,15.6438,0.0006,4812.1,17.179,16.1455,0.0039,8822.2,39.534,14.898,0.0049,1.2476,,,4964.34,,,,,IN,1,,,,0
20,408,150.1427298,0.016,-54.76908636,0.0159,5.26018e+18,0.0988,0.0191,-3.745,0.033,2.882,0.03,0,74200.0,70.028,13.5124,0.001,29071.0,73.977,14.1927,0.0028,68399.0,165.98,12.6743,0.0026,1.5184,,,4330.5,0.4687,0.2173,,,IN,1,,,,0
52,306,150.193269,0.038,-54.76857734,0.0334,5.26018e+18,0.7013,0.0406,-7.242,0.079,4.342,0.063,0,7925.3,5.1747,15.9408,0.0007,3960.4,11.115,16.357,0.003,5741.6,19.218,15.3643,0.0036,0.9927,,,5352.0,0.2287,0.109,0.95,0.662,IN,1,,,,0
69,312,150.1902807,0.0704,-54.76782962,0.0674,5.26018e+18,0.0917,0.0791,-4.799,0.144,3.295,0.126,0,2243.2,1.8723,17.3112,0.0009,867.26,9.6069,18.006,0.012,2196.6,9.2477,16.4076,0.0046,1.5985,,,,,,,,IN,2,,,,0
212,308,150.1948036,0.1455,-54.76707446,0.1415,5.26018e+18,0.2142,0.1571,-4.057,0.282,3.01,0.266,0,822.37,1.2547,18.4007,0.0017,292.03,5.6483,19.1878,0.021,854.29,6.6851,17.4329,0.0085,1.7549,,,,,,,,IN,4,,,,0
60,448,150.1696395,0.0411,-54.76637066,0.0371,5.26018e+18,0.1385,0.0474,-6.551,0.087,4.094,0.074,0,6696.9,4.1931,16.1237,0.0007,2776.9,9.6235,16.7425,0.0038,5809.1,13.991,15.3517,0.0026,1.3908,,,4742.0,,,,,IN,1,,,,0
59,307,150.1895496,0.0201,-54.7652877,0.0189,5.26018e+18,1.0395,0.0226,-11.581,0.04,9.0,0.035,1,28426.0,6.91,14.5541,0.0003,14501.0,18.111,14.9479,0.0014,20215.0,25.114,13.9977,0.0013,0.9501,,,5408.0,0.328,0.159,1.18,1.073,IN,1,,,,0
